New Mexico,1852,8
New Mexico,1853,43
New Mexico,1854,22
New Mexico,1855,15
New Mexico,1856,34
New Mexico,1857,26
New Mexico,1858,31
New Mexico,1860,13
New Mexico,1861,26
New Mexico,1862,30
New Mexico,1863,36
New Mexico,1864,49
New Mexico,1865,44
New Mexico,1868,50
New Mexico,1869,38
New Mexico,1872,13
New Mexico,1873,34
New Mexico,1874,37
New Mexico,1875,47
New Mexico,1876,35
New Mexico,1877,61
New Mexico,1878,85
New Mexico,1879,80
New Mexico,1880,186
New Mexico,1881,232
New Mexico,1882,255
New Mexico,1883,334
New Mexico,1884,459
New Mexico,1885,321
New Mexico,1886,249
New Mexico,1887,113
New Mexico,1888,160
New Mexico,1889,504
New Mexico,1890,463
New Mexico,1891,607
New Mexico,1892,792
New Mexico,1893,663
New Mexico,1894,738
New Mexico,1895,859
New Mexico,1896,988
New Mexico,1897,960
New Mexico,1898,1163
New Mexico,1899,1161
New Mexico,1900,1411
New Mexico,1901,1170
New Mexico,1902,989
New Mexico,1903,1202
New Mexico,1904,1276
New Mexico,1905,1837
New Mexico,1906,2166
New Mexico,1907,2134
New Mexico,1908,1962
New Mexico,1909,2019
New Mexico,1910,1407
New Mexico,1911,2082
New Mexico,1912,1829
New Mexico,1913,1929
New Mexico,1914,1665
New Mexico,1915,1357
New Mexico,1916,1477
New Mexico,1917,1740
New Mexico,1918,1667
New Mexico,1919,1385
New Mexico,1920,1426
New Mexico,1921,1394
New Mexico,1922,788
New Mexico,total_issues,48376
